"hhid","PID","s6q02","s6q03","s6q04","sq05_1","s6q06","s6q07_1","s6q07_2","s6q07_3a","s6q07_3b","s6q07_3c","s6q07_3d","s6q07_3e","s6q07_3f","s6q07_3g","s6q07_3h","s6q07_3i","s6q07_3j","s6q07_3x","s6q13_1","s6q14_2","h6q12a","h6q12b","h6q12c","h6q12d","h6q12e","h6q12f","h6q12g","h6q12h","h6q12i","h6q12j","h6q12k","h6q12_1a","h6q12_1b","h6q12_1c","s6q30b","s6q14","s6q15a","s6q15b","s6q15c","s6q15x","s6q15z","s6q30","s6q16","s6q17","s6q18a","s6q18b","s6q18c","s6q19","s6q20","s6q21","s6q22","s6q23","h6q31_1","h6q31a","h6q31b","s6q24","s6q25","h6q32"
"0007d1f1449242feb5a25429644fb991",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",5,6,3,17,1,1,1,98,,,,,,,,,,,,98,2,98,98,98,98,98,98,98,98,98,98,98,,,,2,98,,,,,,98,98,,,,,,,98,98,,98,98,98,98,98,98
"0007d1f1449242feb5a25429644fb991",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
