"hhid","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3"
"0007d1f1449242feb5a25429644fb991",5,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
"00c2b27287a74f948fef24a8de42825c",6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3
"00d5da8bbd544c548a71f176496ee4b6",6,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,7
"018d29620fa44db282c80b6627413e5c",5,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
"02b20908f47043f0b2389ba8246c5bdc",5,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,3
"03003a6f1ccd4b1290629662229b5d83",6,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0368af34cb614bae9ef98c927741984d",22,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2
"040b3ad7eb264e30acc111646f03422a",7,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"046067ad635647c5a02c03f1790df520",11,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"0464b7af72994dea923644331716d84e",14,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"049dc3291e444c9193fc506570f6a26e",3,1,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,6
"052f8d3f81c3477aa9366a24c54ddf83",5,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"0540d10333124c9ab290bb9daaf998cc",7,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,14
"054124cd4eff40ec97bf51a44fe4a93c",7,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"0586e2b9bcd24aa3bf31580492500327",5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1
"05add010c2404efab0880200dcdc9674",4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0
"0602eb95ac184ad3aa8fdba309f3f946",15,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"079e6812fb50405bbe8cb744b5ef6afd",7,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
"0809936839be4f8b99293dee0663fc53",7,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3
"082757b50eee4bc29551c3c3c30639da",12,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1
"083ade125b70414ba6257ff498afe1f4",4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
"088271b31f1d44d0b28c819a8e44b373",3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"08a622bfb26f4199bde601e058ccf58d",6,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"08e85672338a4515b2a6ab61f4c5c32d",6,,,,,,,,,,,,,,,,,,,,,,
"091931736aa74c1c900335dad7a3f709",6,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
"09c9f51b98214abca30f1cc1accd7cb9",12,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,10
"0b5d1c5449044517bcce04bac511725e",6,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"0ba00f819c6a456f90b6b9ddca903379",5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"0bcc7f6fcdc64e7f925c80713a7d5db4",4,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,4
"0c22a7dbc0cb4cbea89c01a94b82c7e1",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"0d1423b6187b4666aab92778cd5e4050",11,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
"0d9810cde32d470bbcea579035125672",6,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2
"0dcf445c997649629cfe96bdbe03d028",14,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0df87c6cba494e029a4a6e846462b4e8",4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"0e0d592eae8546e29fa5672ad599d418",8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"0e102ce9336c4724a1e17db925d74f0d",8,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0effe952b7be4f59ad5382bc3643699f",4,1,2,1,2,2,1,2,2,,2,1,2,2,2,2,2,2,2,1,2,2,2
"0f120ff4c01e4c2bacbc7c513fbb1d9f",10,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0f8c738dfb7d4256b29784c4528caf95",6,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2
"0f8f2b0cc7a84d8d8e21442c1828a004",11,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,3
"1007d8148aa340fb9a57a7acc47815d9",6,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"10ab9a4c247440f59907df17fc6a4903",4,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3
