"hhid","PID","t31","t32","t33","t34","t35","t36"
"0007d1f1449242feb5a25429644fb991",5,98,,98,,98,
"00246782f8654441a9df0f6ec0b6fc9f",6,2,,2,,2,
"007341c9c07448a580714ee6a46d427f",3,2,,2,,2,
"00c2b27287a74f948fef24a8de42825c",6,2,,1,2,2,
"00d5da8bbd544c548a71f176496ee4b6",6,2,,2,,2,
"00dc3a212a1f40698656b2dc7cc97a85",10,2,,2,,2,
"0142f6f0c8f9435c97ac2563a6f390ec",7,1,1,1,1,2,
"018d29620fa44db282c80b6627413e5c",5,2,,2,,2,
"019f06d347d04d5fa22f1846aba0c59b",13,2,,2,,2,
"01d54a65224747fba33cf7b310c7435e",8,2,,2,,2,
"02087846085249d1ae73a1070233c8bb",3,2,,2,,2,
"024172552bc54600b13887149d11e82c",3,2,,2,,2,
"024dec2ae5e84e15a9d92dc84c3b5084",6,1,1,1,1,2,
"029532d2e0d640f888259f1851cfc929",4,1,2,2,,2,
"02b20908f47043f0b2389ba8246c5bdc",5,2,,2,,2,
"02efd503602d4d10a508075b811e5913",5,2,,1,3,2,
"02fbc725a3074d0fa9debb7a02ba23fb",6,2,,2,,2,
"03003a6f1ccd4b1290629662229b5d83",6,2,,2,,2,
"0368af34cb614bae9ef98c927741984d",22,2,,1,2,2,
"03d9ca9332d545378b468a1883127d8b",6,1,1,1,2,2,
"040b3ad7eb264e30acc111646f03422a",7,2,,2,,2,
"046067ad635647c5a02c03f1790df520",11,2,,2,,2,
"0464b7af72994dea923644331716d84e",14,1,1,1,1,2,
"0495834806fb40adb50e0fd619ef5094",7,2,,2,,2,
"049dc3291e444c9193fc506570f6a26e",3,2,,1,2,2,
"04b011de772e4ce08e33e461bb1741eb",14,2,,1,2,2,
"0515ceaa3b6d4400bb337565e78db4e4",11,1,1,1,1,2,
"051abf68db894b34a1ecfa22bd2a2509",10,2,,2,,2,
"052f8d3f81c3477aa9366a24c54ddf83",5,2,,2,,2,
"0540d10333124c9ab290bb9daaf998cc",7,98,,98,,98,
"054124cd4eff40ec97bf51a44fe4a93c",7,1,2,2,,2,
"05863e44874d4d0bbe8abdc95d9249b2",6,2,,2,,2,
"0586e2b9bcd24aa3bf31580492500327",5,1,2,1,2,1,1
"059ff457522a4a8fa64c8b2717080161",7,2,,2,,2,
"05add010c2404efab0880200dcdc9674",4,2,,2,,2,
"05b5aece409440ff8a1231a07558d979",6,2,,2,,2,
"05bd23b2d9d84b128c7b45db8d2da17f",3,2,,2,,2,
"05dafcf31b4d403aad84cdfff9d1fdfc",5,2,,2,,2,
"06017013809c4ccc99e9c3dcd7b3c10f",4,2,,1,2,2,
"0602eb95ac184ad3aa8fdba309f3f946",15,2,,2,,2,
"06122c47fee6432f8b973b9ea525fe57",4,2,,2,,2,
"061989138f624a46be5860a6f7e8934b",5,2,,2,,2,
"062f7f18a3d7429fabe2c075459a301a",4,1,3,1,1,2,
"06403dbe6bbd4f1e82d16fa705c51b73",3,2,,2,,2,
"067e98465031426791a3853b69a9a70a",4,2,,2,,2,
"06a5f788e6b248dfa229a7cd68fcf706",4,2,,2,,2,
"06b36c2c9668465ead2665345a45355a",4,2,,2,,2,
"06ca2b010f7a4724a51adc2505df2e10",3,2,,2,,2,
"072bede7173b42a9b15f6d873387591a",8,98,,98,,98,
"0753ace2876b4833a3bb185a04440fe8",5,1,1,2,,2,
"076ab269f25445b78942024965446513",4,2,,2,,2,
"079da0c0a73b465b9c0be7a5bd9bf920",4,2,,2,,2,
"079e6812fb50405bbe8cb744b5ef6afd",7,2,,2,,2,
"07cc2b8f1a324976927f0a604636306c",9,2,,1,2,2,
"07cc9720213b487385812471bc510785",5,1,2,1,2,2,
"0809936839be4f8b99293dee0663fc53",7,2,,2,,2,
"082757b50eee4bc29551c3c3c30639da",12,2,,1,2,2,
"083ade125b70414ba6257ff498afe1f4",4,2,,2,,2,
"0870d2355d1c498caee91988946dea92",4,2,,2,,2,
"088271b31f1d44d0b28c819a8e44b373",3,1,2,1,2,2,
"089f1c1e30d94938ad4a28294030f670",9,2,,2,,2,
"08a622bfb26f4199bde601e058ccf58d",6,2,,2,,1,7
"08e85672338a4515b2a6ab61f4c5c32d",6,1,1,1,1,2,
"08f5b8dae9774128b354032393f6d40f",6,2,,2,,2,
"091517b1a65147a7a3aa3b6c93500495",8,2,,2,,2,
"091931736aa74c1c900335dad7a3f709",6,2,,2,,2,
"09b8b362e25d4e57a13012b8d3b6c86e",2,2,,2,,2,
"09c9f51b98214abca30f1cc1accd7cb9",12,98,,98,,98,
"0a33bbb4716e43918e2dcb131f616aff",4,2,,1,1,2,
"0aaa3c3864af4ed5976f59eea475f982",7,2,,2,,2,
"0ab0754b5398494b863f05891f237892",5,1,2,1,2,2,
"0af10a2d6b914d418b2b5b671d12d653",13,2,,2,,2,
"0b579d265ed34359a56af2f15ae4d081",3,98,,98,,98,
"0b5d1c5449044517bcce04bac511725e",6,2,,2,,2,
"0ba00f819c6a456f90b6b9ddca903379",5,2,,2,,2,
"0bc5ec21008a47488be5243e01553a26",4,1,1,1,2,2,
"0bcc7f6fcdc64e7f925c80713a7d5db4",4,1,3,1,1,2,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",7,98,,98,,98,
"0c4001e96413427da9ec508f97d215bc",2,1,1,1,1,1,2
"0c4a4cf0e7ea4067b33aaa955c36715f",6,2,,1,2,2,
"0c818a61c1164978a7d822e925de9e03",14,2,,1,1,2,
"0ca9880b3e5a43ee9ec44c9863b2f236",5,1,1,1,1,2,
"0cac75ed84684d18b700549a520c0f1f",7,1,3,1,3,2,
"0cf5ba3c4a7e4b379ed786599920157c",4,2,,2,,2,
"0cfefdeb042a4b39af8af9a6a53cadba",8,2,,2,,2,
"0d1155056d5a49f592537fdeea3284d3",6,2,,2,,2,
"0d1423b6187b4666aab92778cd5e4050",11,1,1,1,1,2,
"0d55f17a96e74a6b94c6e7657face67b",5,2,,2,,2,
"0d7289cae2764986bbda9ba03d3c2b5f",6,2,,2,,2,
"0d9810cde32d470bbcea579035125672",6,1,2,2,,2,
"0dcf445c997649629cfe96bdbe03d028",14,2,,2,,2,
"0df87c6cba494e029a4a6e846462b4e8",4,2,,2,,2,
"0df97c022ab34484ba98c8f65f2ada36",9,2,,2,,2,
"0e0d592eae8546e29fa5672ad599d418",8,1,1,1,2,98,
"0e102ce9336c4724a1e17db925d74f0d",8,2,,2,,2,
"0e49f87a31fa443584ec7df8acca506e",4,2,,2,,2,
"0effe952b7be4f59ad5382bc3643699f",4,2,,2,,1,1
"0f0b2f51e6444b9eae2db618e9c8c086",7,1,1,1,1,2,
"0f120ff4c01e4c2bacbc7c513fbb1d9f",10,2,,2,,2,
"0f639994baa54fcebe4d20937458bd29",3,98,,98,,98,
"0f799e7ce9224d0aae0da65f6c9f0860",7,2,,2,,2,
"0f8c738dfb7d4256b29784c4528caf95",6,2,,1,2,2,
"0f8f2b0cc7a84d8d8e21442c1828a004",11,2,,1,2,2,
"1007d8148aa340fb9a57a7acc47815d9",6,2,,2,,2,
"100efbd880dd42ae8de85a4f51c76e1d",9,2,,2,,2,
"10ab9a4c247440f59907df17fc6a4903",4,1,2,1,2,2,
"1112c2eca9fc455a9a63e4fa51e352ab",6,2,,2,,2,
"114b358f60a641a59cb3be10f748e144",6,2,,2,,2,
"115133c671c54c2b8da92613a289c8b8",9,2,,2,,2,
"1152a2d0a61840e29ec5ab12bcea2e2d",4,2,,2,,2,
"11849db1f29e4b0cb08e6eeda1fbfb30",6,2,,2,,2,
"11bfaed58e4c47f091ef5056dcaa2199",7,1,2,2,,2,
"11d3ccc53e8a44cdaa7264dd9d8296fc",5,1,1,1,1,2,
"1220b33997d548b8b3cecbd4ca1e3e2a",5,2,,2,,2,
"122b45c8ede343909405d719aa98f674",7,2,,2,,2,
"125a8b98e48c4f36a498582fed322d9e",8,2,,1,1,2,
"129e90e0b1534943b07e61e5b50d632b",5,2,,2,,2,
"12d9093756604f24b9255e1ba86dbd4f",6,2,,2,,2,
"12f5ebcc6aa8416d9bae426583f43f89",3,2,,2,,2,
"131d9d8b687841c6b70b01782950c1a2",5,1,1,1,1,2,
"132b9b8ef3e846abb4dd11ffa45e55f0",14,2,,1,2,2,
"1352711330774897bf79dee40417879c",6,2,,2,,2,
"13bbb610652645e3bde6239310be0af2",9,2,,1,2,2,
"13faf37239f84ddeb3df4d735f0ac7c8",3,2,,2,,2,
"14039c7d7a0b49049dff1fcb05a5ca5c",8,2,,1,1,2,
"140e9bb1a3a94f3d86379851b51e3122",5,1,1,1,1,2,
"144b7e78b04746d4bf4b3a17e62eae1c",10,2,,2,,2,
"148ed33aba8e4c9e8ee45c95ae1e0a5e",1,2,,2,,2,
"14d3e139f3ca44de9726230e53811ccb",7,98,,98,,98,
"14e84fa832224b5a9677a2faf2867e91",4,2,,2,,2,
"153130f9590e4b59a237bbcd326d58ce",8,1,2,1,2,2,
"1536a495d0ee472595d692c6865f5203",8,2,,1,2,2,
"15427620b2844715a0283e4a1a08f8b2",9,2,,2,,2,
"1658e0a4e49040548c0f56b70c4a0f75",6,2,,2,,2,
"165a1e8e700c4e6f9977913e11df0a97",12,2,,2,,2,
"16821330e76d4edcb91f14caa98a742c",12,2,,2,,2,
"16b9068818d64231a1bbdba1fc52fdfb",8,1,2,1,2,2,
"16caa101b05c4019b6297053ddc9eafe",5,2,,2,,2,
"17233724877245b09fb85a552e6c44a7",10,2,,2,,2,
"172ef9d000384fd187798123563776cf",6,2,,1,2,2,
"175e7c6516be47beacb811ab86baffaa",8,1,2,1,2,2,
"1772cebbea394b50ae2cb4b1d5941271",6,2,,2,,2,
"1796b6c2359f447fba0b5be3aab107a8",3,2,,2,,2,
"17a52aa31b0a4f878010b643c427e444",2,2,,2,,2,
"17a884c8ed9e4ea891be76efa97d08c6",7,2,,1,2,2,
"17d493f37f5240f1ab444e863bf4a430",7,2,,2,,2,
"18503ab4e314401a8ac5a5eb63ab4351",3,1,2,1,2,2,
"18506aeca7de41faba0358b1742177ff",5,2,,2,,2,
"185b5db716174215b73431c7b0cb26e0",8,2,,2,,2,
"189536676ac046498cf5c5eb0e7c6468",4,1,2,1,2,2,
"18a09e7e60274c099838f40ab9ac837a",5,1,2,2,,2,
"18d147679fcc498fa80763df9172e233",6,2,,2,,2,
"191d75d796be49808dd3a85c7ebe8b7c",6,1,1,1,2,98,
"193cf962b1a344c185c6cefba882b7d4",6,2,,2,,1,0
"195e7e185f2d4346bb2cfad5e5ad023f",5,2,,2,,2,
"19e3862e9e4249d0b664dbc991572348",5,2,,2,,2,
"1a4a64aab3314acc8fd17e8fe7edc072",5,1,1,1,3,2,
"1a4ac0322d4c4cad97376ec4268cf20d",7,2,,2,,2,
"1b3281db1d2047f88013a14f5df40e67",8,2,,1,2,98,
"1b53079ceaf94e0396763c32908ac53f",7,2,,2,,2,
"1bdbf2c002c341fdb27ba09e8608f4e7",5,2,,2,,2,
"1bf61c5bcfd74e12b82a527d13da7d36",9,2,,2,,2,
"1c41b5d7c9f943f2aee30403e83b187d",7,1,2,1,2,2,
"1d08f9327ffe4cf5b5a8e352295deec3",5,2,,1,3,2,
"1d1b0112e5fc4665b6259b6538dc0939",10,2,,2,,2,
"1d291ad33f6e4704b68c1b8862f7cc64",8,2,,2,,2,
"1d672eb8ea6c4e6799a9a0c2233645d7",5,2,,2,,2,
"1d70eacf23834d34b4dda5073d230f29",5,2,,1,2,2,
"1d7ef5a2fe3f4af59e18768a7e63d24d",4,2,,2,,2,
"1dac5db687b34fd0b60a6254b5f9f850",6,98,,98,,98,
"1de671dc290c488296a0d7820017baea",8,1,2,1,2,2,
"1e26b1faac164da2b9f5b1b66004325d",8,2,,2,,2,
"1e951f7b564247088afe5da99452ba04",10,2,,2,,2,
"1eb0387601424300a1f0f9b1dc3b6c10",5,2,,2,,2,
"1eba0e97660f418b922cee58f221c8e9",3,2,,2,,2,
"1f3f5e2ec40a43ca9c47a872f5db02e2",6,1,2,1,2,2,
"1f8daced52ef48578c8308ef7f0539aa",1,2,,2,,2,
"1fe4c1318fd54f66b040b4dfb416ef74",4,2,,1,2,98,
"1ff6fe0fb96849cba993a74d731af461",6,2,,2,,2,
"2021bcff28dd4810913d91f5164cb972",3,2,,2,,2,
"20296c93a4814fb9b7219849e175b929",5,2,,2,,2,
"2049a03fbeac4ed0882fe5026f52209d",2,2,,1,1,2,
"206c7066bf5d4d8da3f744045dabbfe5",9,2,,2,,2,
"207816d73e9f4cd6995648165702bdad",4,2,,2,,2,
"20c3b302817c417fa16380c32d06362b",4,2,,2,,2,
"20d54aa8a55e4a96a65ab54c602dad3a",4,2,,1,2,2,
"20d6da2686574173adaf3413391ca906",5,2,,1,2,2,
"20dab0d44f7d4d1c866c7ba5d226f65b",11,2,,2,,2,
"20dc85914d764218a363309a0e25cef1",7,2,,2,,2,
"20f00ceea7d34ca3ae64cc57b6beaf86",3,2,,2,,2,
"21044f9fc88e4c24a5428fdd5e0f14a6",7,1,2,1,2,2,
"2140c5c82fb2488b8e6036d60d423225",7,2,,2,,2,
"21944e9e090548d9a50673fe2601883a",6,2,,2,,2,
"219f2a7d3ec84bada34f1484f4c83d40",6,2,,2,,2,
"21a9703d5a584c8a9db2416f2de76485",5,2,,2,,2,
"21d47202fc3b40a28314cce1f536c864",6,2,,2,,2,
"21f10611df214254b3541c9eb5c93c13",4,2,,2,,2,
"224c1dab76684d34bde4139b30cf9aab",11,2,,2,,2,
"228ea02d49594149a81805983d000ce9",3,1,1,1,2,1,1
"22e3ffc6fb744497ae61f2b8f386983f",2,2,,2,,2,
"22f1abe41cf647788695382514c0e513",6,2,,2,,2,
"23209e24c96541a1af7969ab4c73d35c",8,1,1,1,2,2,
"2342cd7d1e3d4166aab8918e8555d0d0",5,2,,2,,2,
"2354aa9ee2ae4dc7b1401ec1ea40ac5b",4,2,,2,,2,
"236cfc7a73be4fbf961dfe0e1da153f0",10,2,,2,,2,
"23825fe7c5d9468fac206ac53bb12e1a",7,2,,2,,2,
"242b689ce8ac46a8ad1ac1b4d235ba50",10,2,,2,,2,
"243f527c062042cda6f6f303038f8dac",3,2,,1,2,2,
"2457c1a0b4fa4876ae3f85c8b2a31dbc",7,2,,2,,2,
"24986699bf914802aa52cc82ae3f08ed",8,2,,2,,2,
"249c428c330a48f2a07de4ea7142aed5",5,2,,2,,2,
"25433274635a41ac80e8eeb62a694a1a",7,2,,1,2,2,
"254b5177919248e58082e007fa510e11",3,1,2,1,2,2,
"25bca54a351240c7900a48203fade4b4",8,2,,2,,2,
"25db106efa724efdb5c0420e2bd97944",7,2,,2,,2,
"25ef06fd5b5e476592286c005f1f0ef8",4,2,,2,,2,
"2628668b68a743a887d2ac87bc06bd7f",12,2,,1,2,2,
"26372ce413f748b98a3b3d1b1ee64608",6,2,,2,,2,
"26768b1d2b1c4607839b37dabeb8f1f6",4,2,,2,,2,
"26c05771d2a0402ca79673bd662a8a43",9,2,,2,,2,
