"hhid","IncomeSource","s11q04","s11q05","s11q06","s11q06a","s11q06b","s11q07"
"0007d1f1449242feb5a25429644fb991",33,2,,,,,
"0007d1f1449242feb5a25429644fb991",32,2,,,,,
"0007d1f1449242feb5a25429644fb991",35,2,,,,,
"0007d1f1449242feb5a25429644fb991",22,2,,,,,
"0007d1f1449242feb5a25429644fb991",31,2,,,,,
"0007d1f1449242feb5a25429644fb991",41,2,,,,,
"0007d1f1449242feb5a25429644fb991",36,2,,,,,
"0007d1f1449242feb5a25429644fb991",43,2,,,,,
"0007d1f1449242feb5a25429644fb991",34,2,,,,,
"0007d1f1449242feb5a25429644fb991",21,2,,,,,
"0007d1f1449242feb5a25429644fb991",44,2,,,,,
"0007d1f1449242feb5a25429644fb991",23,2,,,,,
"0007d1f1449242feb5a25429644fb991",42,2,,,,,
"0007d1f1449242feb5a25429644fb991",45,2,,,,,
"0007d1f1449242feb5a25429644fb991",48,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",22,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",31,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",44,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",42,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",45,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",23,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",34,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",33,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",36,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",41,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",21,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",43,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",35,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",48,2,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",32,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",43,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",31,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",45,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",42,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",22,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",48,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",41,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",32,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",33,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",21,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",23,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",44,2,,,,,
