"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17ab","s8q17","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d"
"0007d1f1449242feb5a25429644fb991",1,2,6,2,2,2,2,1,1,2,,,,,"subsistence mixed farmer",6,63,633,6330,1,"harvesting soya beans and beans and rearing animals",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,8,6,4,4,2,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",2,2,6,1,2,2,2,1,1,1,,,,,"PRIMARY SCHOOL TEACHER",2,23,234,2341,1,"teaching children",161111,85,851,8510,1,1,,1,1,2,1,1,1,,8,4,,,,,5,4,1,"SUBSISTENCE MIXED FARMER",6,63,633,6330,"ploughing and harvesting soya beans and rearing animals",11111,1,15222,150,6,7,5,0,0,0,0,5,5,0,0,0,2,0,5,0,6,1,1,150000,4,,2,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",3,2,6,1,2,2,2,1,1,1,,,,,"subsistence mixed farmer",6,63,633,6330,1,"harvesting soya beans and planting maize and beans and rearing animals",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,1,"house Builder",7,71,713,7133,"BUILDING HOUSES",61111,41,410,4100,1,5,6,0,7,7,7,7,7,7,0,0,0,0,0,0,0,3,,,,,,,96,,,50000,3,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",6,1,,2,2,2,2,1,1,2,,,,,"subsistence mixed farmer",6,63,633,6330,1,"ploughing land and planting beans and rearing animals",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,7,7,7,7,7,7,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,,2,2,2,2,1,1,2,,,,,"Ploughing land",6,61,611,6111,1,"Growing crops mainly for sale and some for food",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,5,5,0,3,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,,2,1,2,2,1,1,2,,,,,"Selling food items",5,52,521,5211,1,"Selling food items in the market",71111,47,478,4789,1,3,,,,,,,,,,,2,2,1,2,5,7,1,"preparing land for planting",6,61,611,6111,"Growing crops mainly for sale and some for sale and some for food",11111,1,11222,111,6,7,5,0,10,0,12,5,4,0,0,3,0,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",4,2,2,2,2,2,2,1,1,2,,,,,"Weeding crops",6,61,611,6111,1,"Growing crops mainly for sale and some for food",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,3,3,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,2,2,2,1,2,2,2,1,2,,,,,"SAWING CLOTHES",7,75,753,7531,1,"SAWING CLOTHES",31111,14,141222,1410,1,3,,,,,,,,,,,2,2,1,2,7,1,2,,,,,,,,,,,,,,0,4,4,4,4,4,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,1,,2,2,2,2,2,2,1,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"PRODUCTION OF CROPS FOR HOME CONSUMPTION",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",3,2,2,2,2,2,2,1,1,2,,,,,"LOOKING AFTER ANIMALS",6,63,632,6320,1,"LOOK AFTER ANIMALS",11111,1,14222,141,1,6,3,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,5,9,9,9,9,9,9,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",1,2,3,1,2,2,2,2,1,2,,,,,"CASUAL LABOURER",9,92,921,9211,1,"CASUAL LABOURER ON PRIVATE AGRICULTURAL FARMS",11111,1,11222,111,1,1,,2,2,2,2,2,2,1,1,2,,,,,7,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,3,,,14000,3,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",3,1,,2,2,2,2,2,2,2,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,19
