"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q30d","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","dwellingVisit"
"0007d1f1449242feb5a25429644fb991",10,10,3,4,2,1982,1,3,,,,,,,2,,,,2,2,,1,,3500000,3,10,12,13,14,1,10,30,0.4,5,2,,,10,3,6,,1,80,1,4,23,2,,1,6,1
"0010cbae3cea4ec9831f6cd92b02dc16",16,10,3,1,2,1986,1,3,,,,,,,2,,,,2,2,,1,,24000000,3,13,14,14,15,,20,10,1,10,2,,,10,4,,,1,120,2,4,23,1,1,1,2,1
"00246782f8654441a9df0f6ec0b6fc9f",10,10,1,150,2,2016,1,3,,,,,,,2,,,,2,2,,1,,5000000,2,15,14,14,16,2,30,3,0.35,10,2,,,10,2,3,4,1,120,1,4,22,2,,1,2,1
"003ed8d32f794609919d60d2ed8813e8",10,10,1,100,1,1995,1,3,,,,,,,1,3,,,6,2,,1,,3000000,2,10,16,14,15,,10,8,0.3,3,2,,,10,1,2,4,1,30,2,4,23,1,1,1,3,1
"005fbc5779014a0290b088071bde9f72",15,10,4,1200,3,1983,2,3,,,,,,,1,3,,,1,2,,1,,300,1,10,12,13,12,6,5,2,0.1,1,2,,,12,,,,,20,8,2,23,1,2,1,1,1
"0060071f3f414406af7312d68eae8513",10,10,1,200,2,1955,4,3,,,,,,,1,96,,,6,2,,1,,2000000,3,10,16,14,15,,40,5,0.5,2,2,,,10,3,,,1,10,1,4,23,2,,1,3,1
"007341c9c07448a580714ee6a46d427f",10,16,,,,,,,,,,,,,,,,,,,,,,,1,10,13,16,14,6,10,4,0.15,1,2,,,10,2,,,1,20,1,2,22,1,4,1,2,1
"008c674975f24ea79f50e30cbd4ee635",16,10,4,400,2,1975,1,3,,,,,,,2,,,,6,2,,1,,1500000,3,15,16,14,14,96,15,5,0.5,4,2,,,10,5,,,1,40,1,4,95,,,,5,1
"009c1baa0edb44f8af47773ce0b7caaa",10,10,4,5000,2,1996,2,3,,,,,,,2,,,,1,2,,1,,6000000,2,10,16,14,15,,15,5,0.3,3,2,,,10,1,4,,1,40,2,2,23,2,,1,1,1
"00b48fb6bcf84dd581bd7b2be5f908a0",10,10,4,2500,2,2017,4,1,2017,1,1,,,,2,,,,1,2,,1,,4000000,1,10,12,13,14,6,20,5,0.5,3,1,2,2000,10,1,,,1,30,2,2,22,2,,2,1,1
"00b4bea2a97641f88ae09439328edd9a",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,12,2,3,1,0.1,2,1,1,2000,10,1,,,1,20,2,4,22,1,2,1,1,1
"00c2b27287a74f948fef24a8de42825c",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,14,96,10,2,0.1,2,2,,,10,1,2,4,1,40,1,4,23,1,3,1,3,1
"00cb487f12014891b3efa5c8679d18ab",11,10,1,50,2,1960,1,3,,,,,,,2,,,,2,2,,1,,1500000,3,10,12,13,16,2,12,6,1,5,2,,,10,2,,,1,80,1,4,23,1,4,1,2,1
"00d5da8bbd544c548a71f176496ee4b6",10,10,3,1,1,1993,1,3,,,,,,,2,,,,2,2,,1,,1000000,2,15,14,14,16,2,30,10,1,20,2,,,10,3,,,1,60,1,4,23,1,2,1,2,1
"00dc3a212a1f40698656b2dc7cc97a85",16,10,1,200,2,2006,1,3,,,,,,,2,,,,2,2,,1,,2000000,1,15,16,14,14,6,10,20,0.3,6,2,,,10,3,4,5,1,140,2,4,23,2,,1,1,1
"0142f6f0c8f9435c97ac2563a6f390ec",10,10,4,5000,2,2001,1,3,,,,,,,2,,,,2,2,,1,,3000000,3,10,16,14,16,1,5,5,0.1,5,2,,,10,3,4,5,1,80,2,2,23,2,,3,1,1
"014cbd0c0b844976888438f7ea74aa69",16,16,,,,,,,,,,,,,,,,,,,,,,,1,15,14,14,12,6,15,3,0.5,3,2,,,10,1,,,1,10,2,4,23,1,4,1,1,1
"0182fc7b5eb44c44aef16c3a178fb762",10,10,1,1000,2,1966,1,3,,,,,,,2,,,,2,2,,1,,2300000,3,10,12,13,12,2,10,10,0.2,3,1,2,1000,10,1,,,1,60,1,4,23,2,,1,1,1
"018d29620fa44db282c80b6627413e5c",16,10,4,15,2,2016,1,3,,,,,,,2,,,,6,2,,1,,400000,1,15,16,14,17,1,90,5,2.5,5,2,,,10,1,,,1,60,2,4,95,,,,1,1
"0192cb54d502450ca603738439bf616f",10,10,3,0,2,1992,1,3,,,,,,,2,,,,6,2,,1,,3000000,3,10,16,14,17,1,10,1,0.4,3,2,,,10,5,6,8,1,80,2,4,23,2,,1,1,1
"0197cec68e9246a887cae30b13bc7488",10,10,4,400,3,2006,1,3,,,,,,,2,,,,2,2,,1,,2000000,1,15,14,14,11,,,,,1,1,8,4000,,,,,,10,2,4,23,1,1,1,1,1
"019f06d347d04d5fa22f1846aba0c59b",10,10,3,2,2,1993,2,3,,,,,,,2,,,,2,2,,1,,6000000,3,10,12,14,16,1,30,2,0.5,5,2,,,10,3,4,5,1,40,2,1,23,2,,1,5,1
"01d0f651c2534a1f8355b9e10e0e9dcb",10,10,3,1,2,1998,1,3,,,,,,,2,,,,6,2,,1,,800000,2,10,16,14,14,1,5,10,0.2,3,2,,,10,1,,,1,20,2,4,23,1,3,1,1,1
"01d54a65224747fba33cf7b310c7435e",16,10,4,5000,2,1958,1,3,,,,,,,2,,,,2,2,,1,,1500000,3,10,16,14,16,1,60,10,1.5,5,2,,,10,2,3,4,1,60,1,1,23,2,,1,2,1
"01e7608a258e42c7a2f5af8b551bc247",10,10,1,3000,1,1999,2,96,1999,1,1,,,,2,,,,1,2,,1,,4000000,3,10,12,13,16,6,40,1,0.5,3,2,,,10,2,3,4,1,60,1,2,23,2,,1,1,1
"02087846085249d1ae73a1070233c8bb",10,10,4,1800,3,2016,96,3,,,,,,,2,,,,1,2,,1,,3000000,1,10,16,14,16,96,60,3,1.25,1,2,,,10,2,4,,1,40,1,2,23,1,1,1,1,1
"0222b766ba3d494fbf6fe07cf260dac4",16,10,3,10,1,2009,1,3,,,,,,,1,2,,,2,2,,1,,24000000,2,15,14,14,16,1,4,1,0.1,10,2,,,10,2,,,1,80,2,4,23,2,,1,2,1
"024172552bc54600b13887149d11e82c",16,12,,,,,,,,,,,,,,,,,,,,,,,1,15,16,14,16,6,20,5,0.3,3,2,,,10,1,,,1,20,2,2,23,2,,1,1,1
"02449af9963842c8b8f615b2232735b1",10,10,4,5000,1,1982,1,3,,,,,,,1,3,,,2,2,,5,3,15000000,2,10,12,13,21,,,,,5,2,,,,,,,,60,2,2,21,2,,1,1,1
"024dec2ae5e84e15a9d92dc84c3b5084",15,10,4,5600,1,2002,1,3,,,,,,,2,,,,2,2,,1,,10000000,2,10,12,14,14,6,2,2,0,8,2,,,10,4,5,,1,60,1,4,22,1,3,1,1,1
"025b88ecba4a44279935bd4a0d19bccd",16,10,1,40,2,1982,1,3,,,,,,,2,,,,2,2,,1,,1000000,3,15,14,14,14,2,10,50,0.2,20,2,,,10,3,4,,1,80,1,4,22,1,1,1,1,1
"02868c7da57e46529281d2dae35ee7fd",10,10,1,100,2,2008,2,3,,,,,,,2,,,,6,2,,1,,4000000,1,10,12,14,14,6,40,15,1.5,5,2,,,10,1,2,,2,50,1,4,22,1,2,2,1,1
"029532d2e0d640f888259f1851cfc929",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,15,,10,360,0.3,5,2,,,10,1,,,1,40,8,2,21,1,3,1,1,1
"02b20908f47043f0b2389ba8246c5bdc",10,10,1,1600,2,1980,1,3,,,,,,,2,,,,2,2,,1,,700000,2,15,16,14,14,6,6,15,0.1,8,1,2,1000,10,2,3,,1,100,2,4,23,1,3,1,2,1
"02efd503602d4d10a508075b811e5913",10,10,3,1,2,2010,1,3,,,,,,,1,1,,,2,2,,1,,6000000,2,10,16,14,15,,50,10,1,4,2,,,10,1,3,,1,40,2,2,23,2,,1,1,1
"02fbc725a3074d0fa9debb7a02ba23fb",10,10,1,100,2,2007,4,3,,,,,,,2,,,,1,2,,1,,1000000,2,10,12,14,16,6,30,2,0.6,2,2,,,10,2,3,4,1,60,2,2,23,2,,1,2,1
"03003a6f1ccd4b1290629662229b5d83",16,10,1,225,1,2015,1,3,,,,,,,1,3,,,1,2,,1,,25000000,1,15,14,14,14,1,8,2,0.1,10,2,,,10,2,3,,1,60,1,4,95,,,,2,1
"032de3aed1c34dd5840aba975a5a4468",10,10,1,12,2,1970,1,3,,,,,,,2,,,,6,2,,1,,300000,2,10,16,96,15,,30,10,0.5,5,2,,,10,1,2,,1,80,1,4,23,1,2,1,1,1
"034a672611304ed3a91b8a062f4d4046",10,10,1,160,1,2015,1,3,,,,,,,1,3,,,5,2,,1,,6000000,2,10,12,14,14,2,60,60,1,7,1,2,800,10,1,,,1,40,1,4,23,2,,1,1,1
"0368af34cb614bae9ef98c927741984d",16,10,4,6000,1,1990,1,3,,,,,,,2,,,,2,2,,1,,4000000,4,15,16,14,14,6,20,10,0.5,10,2,,,10,9,11,12,2,120,2,4,23,2,,1,1,1
"0397ef293012436a99a621fce6fc7471",10,10,1,8000,1,2017,1,3,,,,,,,1,3,,,1,2,,1,,5000000,1,10,12,13,12,6,3,1,0.1,3,1,1,6000,10,1,2,,1,20,1,2,22,1,10,1,1,2
"039d3e634a2e4f2bb56e3798660eb6ba",10,12,,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,16,1,30,5,0.3,1,2,,,10,1,,,1,20,2,2,23,2,,1,1,1
"03b2600846004af6ba212269261907a2",10,10,4,2500,3,2009,1,3,,,,,,,2,,,,1,1,2,3,2,6000000,3,10,12,13,15,,60,5,1,5,2,,,10,2,3,4,1,80,1,2,22,2,,1,1,1
"03d9ca9332d545378b468a1883127d8b",10,10,3,8000,1,2015,2,3,,,,,,,1,96,,,1,2,,1,,12000000,2,10,14,14,12,1,15,5,0.2,5,1,2,2500,10,3,4,5,1,60,1,4,23,2,,1,1,2
