hhid,s10q01,s10q02,s10q03,s10q04,s10q05a,s10q05b,s10q06,s10q07a,s10q07b,s10q09,s10q10,s10q11,s10q12,s10q05c,year,h10_respondent,s10q08a,s10q08b,s10q08c,s10q08d,s10q08e,s10q08f,s10q08g,s10q08h,s10q08x,s10q08z
H00101-04-01,2,,,,,,1,0.0,0.0,6.0,2.0,4.0,3.0,,2013,,,,,,,,,,,
H00102-04-01,2,,,,,,2,,,8.0,2.0,6.0,1.0,,2013,,,,,,,,,,,
H00104-04-01,2,,,,,,2,,,8.0,2.0,5.0,3.0,,2013,,,,,,,,,,,
H00110-04-01,2,,,,,,2,,,6.0,2.0,4.0,2.0,,2013,,,,,,,,,,,
H00208-04-01,1,12.0,1.0,256.0,164000.0,30.0,2,,,6.0,2.0,14.0,1.0,,2013,,,,,,,,,,,
H00209-04-01,1,24.0,4.0,,10000.0,30.0,2,,,6.0,2.0,7.0,3.0,,2013,,,,,,,,,,,
H00211-04-01,1,24.0,1.0,151.5,27012.0,30.0,2,,,6.0,2.0,4.0,1.0,,2013,,,,,,,,,,,
H00213-04-01,1,24.0,1.0,301.0,158000.0,28.0,2,,,6.0,2.0,8.0,1.0,,2013,,,,,,,,,,,
H00301-04-01,1,12.0,4.0,,15000.0,30.0,2,,,6.0,2.0,6.0,3.0,,2013,,,,,,,,,,,
H00302-04-01,1,12.0,2.0,,,,2,,,6.0,2.0,3.0,2.0,,2013,,,,,,,,,,,
H00303-04-01,2,,,,,,2,,,6.0,2.0,7.0,2.0,,2013,,,,,,,,,,,
H00304-04-01,2,,,,,,2,,,,,,,,2013,,,,,,,,,,,
H00307-04-01,1,24.0,4.0,,20000.0,30.0,2,,,6.0,2.0,4.0,3.0,,2013,,,,,,,,,,,
H00312-04-01,1,24.0,4.0,,20000.0,30.0,2,,,6.0,2.0,8.0,3.0,,2013,,,,,,,,,,,
H00313-04-01,1,24.0,1.0,40.0,28000.0,20.0,2,,,6.0,2.0,9.0,1.0,,2013,,,,,,,,,,,
H00606-04-01,1,24.0,2.0,,,,2,,,6.0,2.0,2.0,3.0,,2013,,,,,,,,,,,
H00704-04-01,2,,,,,,2,,,6.0,2.0,6.0,3.0,,2013,,,,,,,,,,,
H00707-04-01,1,22.0,1.0,48.0,30000.0,30.0,2,,,6.0,2.0,8.0,1.0,,2013,,,,,,,,,,,
H00710-04-01,1,10.0,1.0,35.0,20000.0,30.0,2,,,8.0,2.0,8.0,3.0,,2013,,,,,,,,,,,
H00712-04-01,1,24.0,1.0,30.0,21000.0,17.0,2,,,6.0,2.0,2.0,1.0,,2013,,,,,,,,,,,
H00801-04-01,1,8.0,1.0,0.0,80000.0,30.0,2,,,6.0,2.0,8.0,1.0,,2013,,,,,,,,,,,
H00802-04-01,2,,,,,,2,,,6.0,2.0,5.0,1.0,,2013,,,,,,,,,,,
H00803-04-01,1,8.0,1.0,0.0,40000.0,30.0,2,,,6.0,2.0,7.0,1.0,,2013,,,,,,,,,,,
H00805-04-01,2,,,,,,2,,,3.0,2.0,8.0,3.0,,2013,,,,,,,,,,,
H00809-04-01,1,15.0,1.0,30.0,30000.0,30.0,2,,,6.0,2.0,12.0,3.0,,2013,,,,,,,,,,,
H00810-04-02,1,24.0,1.0,,30000.0,7.0,2,,,6.0,1.0,6.0,1.0,,2013,,,,,,,,,,,
H00810-04-03,1,24.0,1.0,,30000.0,30.0,2,,,6.0,2.0,5.0,1.0,,2013,,,,,,,,,,,
H00811-04-01,1,6.0,1.0,,25000.0,30.0,2,,,6.0,2.0,5.0,1.0,,2013,,,,,,,,,,,
H01209-04-01,1,5.0,1.0,,30000.0,30.0,2,,,6.0,1.0,8.0,1.0,,2013,,,,,,,,,,,
H01209-04-02,1,8.0,4.0,,20000.0,30.0,2,,,6.0,2.0,6.0,3.0,,2013,,,,,,,,,,,
H01209-04-03,1,8.0,1.0,,80000.0,30.0,2,,,6.0,1.0,4.0,1.0,,2013,,,,,,,,,,,
H01210-04-01,2,,,,,,2,,,6.0,2.0,6.0,3.0,,2013,,,,,,,,,,,
H01401-04-01,1,5.0,1.0,,36000.0,30.0,2,,,6.0,2.0,4.0,1.0,,2013,,,,,,,,,,,
H01402-04-01,1,12.0,1.0,30.0,20000.0,30.0,2,,,,,,,,2013,,,,,,,,,,,
H01406-04-01,1,24.0,1.0,25.0,15000.0,30.0,2,,,6.0,2.0,6.0,1.0,,2013,,,,,,,,,,,
H01409-04-01,2,,,,,,2,,,3.0,2.0,1.0,3.0,,2013,,,,,,,,,,,
H01601-04-01,2,,,,,,2,,,6.0,2.0,5.0,3.0,,2013,,,,,,,,,,,
H01604-04-01,1,10.0,1.0,169.0,100000.0,30.0,2,,,1.0,,4.0,1.0,,2013,,,,,,,,,,,
H01605-04-01,1,24.0,1.0,128.0,80000.0,30.0,2,,,6.0,2.0,8.0,1.0,,2013,,,,,,,,,,,
H01607-04-01,1,24.0,1.0,16.0,10000.0,30.0,2,,,6.0,2.0,6.0,1.0,,2013,,,,,,,,,,,
H01612-04-01,1,12.0,1.0,16.0,10000.0,30.0,2,,,6.0,2.0,7.0,3.0,,2013,,,,,,,,,,,
H01801-04-01,1,15.0,4.0,,10000.0,30.0,2,,,6.0,2.0,5.0,1.0,,2013,,,,,,,,,,,
H01806-04-01,2,,,,,,2,,,6.0,2.0,6.0,2.0,,2013,,,,,,,,,,,
H01806-04-02,1,22.0,4.0,,15000.0,30.0,2,,,8.0,2.0,4.0,1.0,,2013,,,,,,,,,,,
H01809-04-01,2,,,,,,2,,,6.0,1.0,7.0,2.0,,2013,,,,,,,,,,,
H01813-04-01,1,24.0,1.0,16.5,137500.0,30.0,2,,,6.0,2.0,8.0,1.0,,2013,,,,,,,,,,,
H02108-04-01,1,5.0,2.0,,,,2,,,6.0,2.0,4.0,3.0,,2013,,,,,,,,,,,
H02110-04-01,1,24.0,1.0,5.0,50000.0,30.0,2,,,6.0,2.0,6.0,3.0,,2013,,,,,,,,,,,
H02111-04-01,1,24.0,2.0,,,,2,,,6.0,2.0,7.0,1.0,,2013,,,,,,,,,,,
H02113-04-01,1,24.0,1.0,30.0,20000.0,30.0,2,,,6.0,2.0,5.0,1.0,,2013,,,,,,,,,,,
H02203-04-01,2,,,,,,2,,,6.0,2.0,4.0,3.0,,2013,,,,,,,,,,,
H02205-04-01,1,23.0,1.0,115.0,80000.0,30.0,2,,,6.0,2.0,6.0,1.0,,2013,,,,,,,,,,,
H02206-04-01,1,12.0,1.0,60.0,20000.0,30.0,2,,,6.0,2.0,5.0,1.0,,2013,,,,,,,,,,,
H02207-04-01,1,24.0,8.0,,20000.0,30.0,2,,,6.0,1.0,4.0,1.0,,2013,,,,,,,,,,,
H02304-04-01,1,4.0,4.0,,10000.0,30.0,2,,,6.0,2.0,3.0,3.0,,2013,,,,,,,,,,,
H02305-04-01,1,24.0,1.0,,20000.0,30.0,2,,,6.0,2.0,8.0,3.0,,2013,,,,,,,,,,,
H02310-04-01,1,8.0,1.0,16.3,10000.0,30.0,2,,,6.0,1.0,8.0,3.0,,2013,,,,,,,,,,,
H02401-04-01,2,,,,,,2,,,3.0,1.0,4.0,1.0,,2013,,,,,,,,,,,
H02407-04-01,2,,,,,,2,,,6.0,2.0,4.0,2.0,,2013,,,,,,,,,,,
H02409-04-01,1,12.0,4.0,,10000.0,30.0,2,,,6.0,2.0,3.0,3.0,,2013,,,,,,,,,,,
H02412-04-01,2,,,,,,2,,,6.0,2.0,7.0,2.0,,2013,,,,,,,,,,,
H02507-04-01,1,24.0,1.0,34.0,20000.0,30.0,2,,,6.0,2.0,7.0,1.0,,2013,,,,,,,,,,,
H02601-04-01,1,24.0,2.0,,,,2,,,6.0,2.0,2.0,1.0,,2013,,,,,,,,,,,
H02601-04-02,1,24.0,4.0,,20000.0,30.0,2,,,6.0,2.0,4.0,3.0,,2013,,,,,,,,,,,
H02602-04-01,1,6.0,1.0,0.0,70000.0,31.0,2,,,6.0,2.0,7.0,1.0,,2013,,,,,,,,,,,
H02608-04-01,1,24.0,4.0,,100000.0,30.0,2,,,6.0,2.0,4.0,3.0,,2013,,,,,,,,,,,
H02608-04-02,1,24.0,3.0,,,,2,,,2.0,,4.0,1.0,,2013,,,,,,,,,,,
H02609-04-01,2,,,,,,2,,,6.0,2.0,6.0,2.0,,2013,,,,,,,,,,,
H02703-04-02,1,8.0,2.0,,,,2,,,6.0,2.0,6.0,1.0,,2013,,,,,,,,,,,
H02705-04-01,1,10.0,1.0,30.0,10000.0,30.0,2,,,6.0,2.0,6.0,1.0,,2013,,,,,,,,,,,
