hhid,s10q13,s10q14,s10q15a,s10q15b,s10q15c,s10q16,s10q17a,s10q17b,s10q17c,year
H00101-04-01,1,2.0,,,,,,,,2013
H00101-04-01,2,2.0,,,,,,,,2013
H00101-04-01,3,2.0,,,,,,,,2013
H00101-04-01,4,2.0,,,,,,,,2013
H00101-04-01,5,2.0,,,,,,,,2013
H00101-04-01,6,1.0,1.0,2.0,2.0,1.0,20000.0,1.0,9.0,2013
H00101-04-01,7,1.0,2.0,1.0,2.0,,,,,2013
H00101-04-01,8,2.0,,,,,,,,2013
H00102-04-01,1,1.0,1.0,2.0,2.0,3.0,15000.0,15.0,97.0,2013
H00102-04-01,2,2.0,,,,,,,,2013
H00102-04-01,3,2.0,,,,,,,,2013
H00102-04-01,4,1.0,2.0,1.0,2.0,1.0,4000.0,1.0,3.0,2013
H00102-04-01,5,2.0,,,,,,,,2013
H00102-04-01,6,2.0,,,,,,,,2013
H00102-04-01,7,2.0,,,,,,,,2013
H00102-04-01,8,2.0,,,,,,,,2013
H00104-04-01,1,1.0,1.0,2.0,2.0,6.0,,,,2013
H00104-04-01,2,2.0,,,,,,,,2013
H00104-04-01,3,2.0,,,,,,,,2013
H00104-04-01,4,1.0,2.0,1.0,2.0,1.0,2000.0,0.5,3.0,2013
H00104-04-01,5,2.0,,,,,,,,2013
H00104-04-01,6,2.0,,,,,,,,2013
H00104-04-01,7,2.0,,,,,,,,2013
H00104-04-01,8,2.0,,,,,,,,2013
H00110-04-01,1,2.0,,,,,,,,2013
H00110-04-01,2,2.0,,,,,,,,2013
H00110-04-01,3,2.0,,,,,,,,2013
H00110-04-01,4,1.0,2.0,1.0,2.0,1.0,1000.0,2.0,125.0,2013
H00110-04-01,5,2.0,,,,,,,,2013
H00110-04-01,6,1.0,1.0,2.0,2.0,1.0,4000.0,0.25,11.0,2013
H00110-04-01,7,2.0,,,,,,,,2013
H00110-04-01,8,2.0,,,,,,,,2013
H00208-04-01,1,2.0,,,,,,,,2013
H00208-04-01,2,2.0,,,,,,,,2013
H00208-04-01,3,2.0,,,,,,,,2013
H00208-04-01,4,2.0,,,,,,,,2013
H00208-04-01,5,2.0,,,,,,,,2013
H00208-04-01,6,1.0,1.0,2.0,2.0,2.0,45000.0,1.0,10.0,2013
H00208-04-01,7,2.0,,,,,,,,2013
H00208-04-01,8,1.0,2.0,1.0,2.0,,,,,2013
H00209-04-01,1,2.0,,,,,,,,2013
H00209-04-01,2,2.0,,,,,,,,2013
H00209-04-01,3,2.0,,,,,,,,2013
H00209-04-01,4,2.0,,,,,,,,2013
H00209-04-01,5,2.0,,,,,,,,2013
H00209-04-01,6,1.0,1.0,2.0,2.0,2.0,40000.0,4.0,12.0,2013
H00209-04-01,7,2.0,,,,,,,,2013
H00209-04-01,8,1.0,2.0,1.0,2.0,,,,,2013
H00211-04-01,1,2.0,,,,,,,,2013
H00211-04-01,2,2.0,,,,,,,,2013
H00211-04-01,3,2.0,,,,,,,,2013
H00211-04-01,4,2.0,,,,,,,,2013
H00211-04-01,5,2.0,,,,,,,,2013
H00211-04-01,6,1.0,1.0,2.0,2.0,2.0,40000.0,1.0,10.0,2013
H00211-04-01,7,2.0,,,,,,,,2013
H00211-04-01,8,1.0,2.0,1.0,2.0,,,,,2013
H00213-04-01,1,2.0,,,,,,,,2013
H00213-04-01,2,2.0,,,,,,,,2013
H00213-04-01,3,2.0,,,,,,,,2013
H00213-04-01,4,2.0,,,,,,,,2013
H00213-04-01,5,2.0,,,,,,,,2013
H00213-04-01,6,1.0,1.0,2.0,1.0,2.0,60000.0,1.0,9.0,2013
H00213-04-01,7,2.0,,,,,,,,2013
H00213-04-01,8,1.0,2.0,1.0,1.0,,,,,2013
H00301-04-01,1,2.0,,,,,,,,2013
H00301-04-01,2,2.0,,,,,,,,2013
H00301-04-01,3,2.0,,,,,,,,2013
H00301-04-01,4,1.0,2.0,1.0,2.0,1.0,5600.0,2.0,3.0,2013
H00301-04-01,5,2.0,,,,,,,,2013
H00301-04-01,6,1.0,1.0,2.0,2.0,2.0,2000.0,30.0,21.0,2013
H00301-04-01,7,2.0,,,,,,,,2013
H00301-04-01,8,1.0,2.0,1.0,2.0,,,,,2013
H00302-04-01,1,2.0,,,,,,,,2013
H00302-04-01,2,2.0,,,,,,,,2013
H00302-04-01,3,2.0,,,,,,,,2013
H00302-04-01,4,2.0,,,,,,,,2013
H00302-04-01,5,2.0,,,,,,,,2013
H00302-04-01,6,1.0,1.0,2.0,2.0,2.0,1000.0,1.0,91.0,2013
H00302-04-01,7,2.0,,,,,,,,2013
H00302-04-01,8,1.0,2.0,1.0,2.0,,,,,2013
H00303-04-01,1,2.0,,,,,,,,2013
H00303-04-01,2,2.0,,,,,,,,2013
H00303-04-01,3,2.0,,,,,,,,2013
H00303-04-01,4,2.0,,,,,,,,2013
H00303-04-01,5,2.0,,,,,,,,2013
H00303-04-01,6,1.0,1.0,2.0,2.0,2.0,40000.0,20.0,99.0,2013
H00303-04-01,7,2.0,,,,,,,,2013
